time,Ml,Ml_unc
1559349029,1.005033,0.241393
1559366837,1.132055,0.110167
1559381814,0.759779,0.374844
1559441943,1.93824,0.400641
1559441997,2.48619,0.39256
1559447932,1.102476,0.368124
1559456914,2.201213,0.38541
1559462118,0.775221,0.35947
1559462211,1.174284,0.189865
1559467432,1.665367,0.464889
1559467588,0.468461,0.227271
1559496007,1.060964,0.230032
1559499288,1.033682,0.199499
1559499502,1.175946,0.239163
1559505906,1.687998,0.430723
1559519681,1.243439,0.304388
1559544028,1.752706,0.315552
1559565891,1.173622,0.155276
1559591188,1.409638,0.281921
1559610234,1.189532,0.256386
1559618736,0.91152,0.254494
1559626902,1.140468,0.126869
1559630751,1.535224,0.348502
1559632743,1.496299,0.166437
1559637282,1.244782,0.22509
1559653732,0.879108,0.301378
1559667851,1.473782,0.276987
1559699599,1.836318,0.294449
1559709274,0.851064,0.249077
1559715239,1.880814,0.13453
1559723526,1.449588,0.341677
1559729136,1.236249,0.353678
1559729160,0.555576,0.212692
1559731666,2.36444,0.266007
1559734077,0.791087,0.211943
1559735082,1.005379,0.181552
1559755175,2.935022,0.360168
1559755382,1.137912,0.325133
1559757800,0.949491,0.391335
1559770289,2.084522,0.413087
1559775444,1.166777,0.297134
1559787363,1.440231,0.24134
1559793908,2.640257,0.344756
1559796476,1.181404,0.234842
1559797100,1.780767,0.221807
1559799275,1.078966,0.330119
1559799334,1.368983,0.232585
1559804139,1.49961,0.303624
1559807213,1.436633,0.338698
1559821333,1.066594,0.197687
1559825045,1.388998,0.367611
1559846643,1.568364,0.565006
1559850146,0.781912,0.107596
1559854351,1.194359,0.399595
1559855937,0.860816,0.340257
1559857430,1.769397,0.191301
1559859063,2.04109,0.298661
1559865693,0.703324,0.448137
1559886914,0.807428,0.196128
1559893069,1.16748,0.244932
1559909070,2.059458,0.306227
1559909721,1.303338,0.361959
1559919357,0.559442,0.30925
1559933607,1.281309,0.070692
1559948572,2.257249,0.154376
1559975616,0.832597,0.140791
1559975827,0.819842,0.26085
1559976842,1.168326,0.262546
1559983291,1.407947,0.235771
1559983836,0.919651,0.256263
1559989307,1.122617,0.206086
1559997844,1.151323,0.127098
1560001903,0.882151,0.17542
1560014052,0.776006,0.377109
1560017195,1.656501,0.186405
1560032510,1.552024,0.38191
1560058315,0.730237,0.210879
1560080429,0.901049,0.16951
1560085048,0.894947,0.146066
1560088690,1.168036,0.233921
1560093654,1.332121,0.244531
1560117293,0.975594,0.325675
1560121721,1.051484,0.118084
1560133953,1.166164,0.191998
1560134471,3.649248,0.137255
1560136813,1.852449,0.319349
1560144583,1.67823,0.175618
1560147052,0.875961,0.10356
1560154218,0.708115,0.191328
1560160391,0.866102,0.25072
1560161222,1.002761,0.213053
1560161302,0.854607,0.18185
1560162249,0.611303,0.247201
1560168334,0.675158,0.200804
1560172577,0.845707,0.169757
