year,month, day,hour,min,sec
2023,1,1,10,17,17.7631
2023,1,1,16,40,11.7014
2023,1,1,18,7,6.8099
2023,1,1,18,48,31.8459
2023,1,1,21,25,16.399
2023,1,2,1,51,43.3011
2023,1,2,2,46,8.9731
2023,1,2,3,12,20.5984
2023,1,2,4,38,1.889
2023,1,2,10,38,3.6615
2023,1,2,11,41,33.5904
2023,1,2,18,59,59.2097
2023,1,2,20,11,37.4633
2023,1,2,23,57,9.731
2023,1,3,2,48,12.502
2023,1,3,15,9,8.3023
2023,1,3,15,59,55.0957
2023,1,4,9,51,44.8036
2023,1,4,13,20,52.2294
2023,1,4,14,4,50.429
2023,1,5,7,41,2.4475
2023,1,5,7,43,6.4373
2023,1,5,8,33,19.2244
2023,1,5,9,7,11.4249
2023,1,5,10,49,40.6921
2023,1,5,13,7,26.9884
2023,1,5,13,31,33.7263
2023,1,5,13,48,34.1144
2023,1,5,14,9,18.3441
2023,1,5,14,19,52.6379
2023,1,6,1,21,2.1894
2023,1,6,8,6,4.8584
2023,1,6,13,23,21.4962
2023,1,6,14,31,20.0405
2023,1,6,17,4,58.8514
2023,1,7,3,9,0.649
2023,1,7,20,47,42.0869
2023,1,7,22,58,25.9752
2023,1,9,1,11,56.6881
2023,1,9,5,57,42.4501
2023,1,9,11,53,40.5356
2023,1,9,13,27,54.7242
2023,1,9,15,25,38.5666
2023,1,9,19,5,41.7284
2023,1,9,20,54,0.2279
2023,1,10,0,50,30.3507
2023,1,10,13,48,11.2628
2023,1,10,21,39,42.8286
2023,1,11,5,6,24.9724
2023,1,11,9,11,8.603
2023,1,11,12,41,33.3858
2023,1,11,14,40,19.6315
2023,1,12,4,35,37.511
2023,1,12,12,25,2.5644
2023,1,12,18,18,47.056
2023,1,12,20,40,49.5176
2023,1,12,20,57,46.7186
2023,1,13,23,59,49.0447
2023,1,13,7,16,2.157
2023,1,13,8,56,16.7933
2023,1,13,18,29,44.1497
2023,1,13,19,48,3.0167
2023,1,13,20,44,9.3661
2023,1,13,23,2,44.2604
2023,1,14,14,15,59.6095
2023,1,14,15,28,38.4592
2023,1,14,15,43,5.8777
2023,1,15,3,36,26.3046
2023,1,15,3,39,37.3941
2023,1,15,3,48,49.1699
2023,1,15,3,50,51.2793
2023,1,15,3,52,0.353
2023,1,15,4,7,27.0719
2023,1,15,4,22,56.881
2023,1,15,4,29,4.9252
2023,1,15,4,30,46.6402
2023,1,15,4,32,37.2806
2023,1,15,4,36,47.826
2023,1,15,5,48,20.5439
2023,1,15,5,55,36.3595
2023,1,15,5,59,25.9644
2023,1,15,7,50,48.7428
2023,1,15,12,37,1.5256
2023,1,16,0,46,32.3094
2023,1,16,6,3,43.3401
2023,1,16,6,14,34.926
2023,1,16,6,37,38.8341
2023,1,16,6,52,16.4445
2023,1,16,9,27,43.7186
2023,1,17,4,12,30.9901
2023,1,17,6,40,49.0335
2023,1,17,18,22,39.3638
2023,1,18,8,8,39.6898
2023,1,18,9,40,26.0616
2023,1,18,13,30,46.822
2023,1,18,14,17,30.3383
2023,1,19,3,53,45.6929
2023,1,19,14,47,50.923
2023,1,19,23,4,28.2598
2023,1,20,16,22,8.5181
2023,1,20,23,3,58.8079
2023,1,21,2,26,54.3293
2023,1,21,8,54,19.9903
2023,1,21,10,23,43.8336
2023,1,21,10,51,47.2524
2023,1,21,13,14,18.8786
2023,1,21,16,11,22.6903
2023,1,21,20,47,11.775
2023,1,22,0,12,20.8477
2023,1,22,2,28,38.9916
2023,1,22,15,44,5.9151
2023,1,23,10,38,7.049
2023,1,24,3,41,27.1478
2023,1,24,9,23,22.5341
2023,1,24,9,53,57.5557
2023,1,24,11,28,39.0677
2023,1,24,19,10,55.8917
2023,1,24,21,40,43.9145
2023,1,24,21,51,10.2172
2023,1,25,0,57,36.2589
2023,1,25,5,21,23.0114
2023,1,25,6,6,11.2811
2023,1,25,8,6,24.3708
2023,1,25,10,38,20.2251
2023,1,25,11,12,52.4069
2023,1,25,12,20,1.641
2023,1,25,22,40,43.1646
2023,1,25,23,38,56.8032
2023,1,26,8,44,46.3134
2023,1,26,8,56,37.1372
2023,1,26,9,35,1.5381
2023,1,26,23,21,48.0426
2023,1,27,3,9,11.579
2023,1,27,5,39,44.2815
2023,1,28,1,10,33.4251
2023,1,28,9,31,7.9611
2023,1,29,3,2,5.0136
2023,1,29,3,18,17.7057
2023,1,29,4,22,49.1201
2023,1,29,16,12,38.8181
2023,1,29,17,53,15.7089
2023,1,29,18,46,28.3688
2023,1,30,5,16,44.9229
2023,1,30,7,15,19.5712
2023,1,30,8,36,43.0061
2023,1,31,3,24,57.6969
2023,1,31,10,1,0.9611
2023,2,1,7,2,3.0925
2023,2,2,4,53,9.9782
2023,2,2,12,2,33.432
2023,2,3,11,5,7.6043
2023,2,3,11,10,9.6124
2023,2,3,11,12,10.2137
2023,2,3,11,37,12.3346
2023,2,3,11,38,39.31
2023,2,3,22,6,30.187
2023,2,3,22,43,9.9508
2023,2,4,8,22,16.6956
2023,2,4,8,28,6.4689
2023,2,4,16,55,57.0272
2023,2,5,3,18,37.329
2023,2,5,4,16,52.1275
